Marcel Goc;;
Pierre-Marc Bouchard;;
Clarke MacArthur;;
Joel Ward;;
Benoit Pouliot;;
Andy McDonald;;
Marcus Johansson;;
Eric Brewer;;
Matt Stajan;;
Kyle Okposo;;
Ryan Nugent-Hopkins;;
Tyson Barrie;D1;red
Adam Henrique;;
Gabriel Bourque;;
Daniel Paille;;
Cam Atkinson;;
Vladimir Sobotka;;
Colin Greening;;
Vladimir Tarasenko;;
Travis Zajac;;
T.J. Oshie;;
Mika Zibanejad;;
Andrew MacDonald;;
Jeff Petry;;
Johnny Oduya;;
Barret Jackman;;
Alexei Emelin;;
Stephane Robidas;;
Valtteri Filppula;;
Gabriel Landeskog;;
Eric Fehr;;
Roman Cervenka;;
RJ Umberger;;
Martin Havlat;;
Alex Killorn;;
Colin Wilson;;
Ryan O'Reilly;;
Patrick Sharp;F4;
Andrej Sekera;;
Ron Hainsey;;
Chris Higgins;;
Mikhail Grabovski;;
Matt Calvert;;
Magnus Paajarvi;;
Jay McClement;;
Peter Mueller;;
Jarret Stoll;;
Raffi Torres;;
Daniel Winnik;;
Nick Foligno;;
David Moss;;
Luke Schenn;;
Rob Scuderi;;
Daniel Cleary;;
Andrew Shaw;;
Patrick Dwyer;;
Tom Pyatt;;
Mikael Backlund;;
Steve Sullivan;;
Colin McDonald;;
Drew Stafford;;
Rich Peverley;;
Nik Antropov;;
Marc Methot;;
Jonas Brodin;;
John-Michael Liles;;
Marc Staal;;
Michal Rozsival;;
Justin Abdelkader;;
Steve Bernier;;
Michael Stone;;
Mathieu Perreault;;
Marcus Foligno;;
Travis Hamonic;;
Jay Harrison;;
Dmitry Kulikov;;
Andre Benoit;;
TJ Brennan;;
Cam Fowler;D3;
Erik Cole;;
Nick Spaling;;
Charlie Coyle;;
Nate Thompson;;
Daniel Briere;;
Paul Postma;;
Ryane Clowe;;
Niklas Hjalmarsson;;
Jordan Leopold;;
Brandon Dubinsky;;
Derek Morris;;
Matt Beleskey;;
Olli Jokinen;;
Dave Bolland;;
Kyle Clifford;;
Antoine Roussel;;
Ryan Carter;;
Kyle Wellwood;;
Casey Cizikas;;
Simon Gagne;;
Nikita Nikitin;;
Jack Hillen;;
Vernon Fiddler;;
Filip Kuba;;
Jan Hejda;;
Kyle Brodziak;;
Cody McLeod;;
Andrei Loktionov;;
Jaden Schwartz;;
Rene Bourque;;
Matt Frattin;;
Josh Gorges;;
Clayton Stoner;;
Ben Lovejoy;;
Scott Hartnell;F3;
Shawn Horcoff;;
Trevor Lewis;;
Jochen Hecht;;
Brandon Prust;;
TJ Galiardi;;
