rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points
742;Aaron Johnson;BOS;D;10;0;0;0;0;0;0
743;Matt Gilroy;NYR;D;15;0;0;0;0;0;0
744;Krystofer Barch;NJD;R;22;0;0;0;0;0;0
745;Steven Pinizzotto;VAN;R;12;0;0;0;0;0;0
746;Alex Petrovic;FLA;D;6;0;0;0;0;0;0
747;Alexandre Bolduc;PHX;C;14;0;0;0;0;0;0
748;Manny Malhotra;VAN;C;9;0;0;0;0;0;0
749;Chad Ruhwedel;BUF;D;7;0;0;0;0;0;0
750;Stu Bickel;NYR;D;16;0;0;0;0;0;0
751;Eric Boulton;NYI;L;15;0;0;0;0;0;0
752;Ryan Murphy;CAR;D;4;0;0;0;0;0;0
753;Nick Drazenovic;CBJ;C;8;0;0;0;0;0;0
754;Nicolas Blanchard;CAR;C;9;0;0;0;0;0;0
755;Mark Borowiecki;OTT;D;6;0;0;0;0;0;0
756;Chris VandeVelde;EDM;C;11;0;0;0;0;0;0
757;Chris Summers;PHX;D;6;0;0;0;0;0;0
758;Theo Peckham;EDM;D;4;0;0;0;0;0;0
759;Nolan Yonkman;FLA;D;7;0;0;0;0;0;0
760;Andreas Lilja;PHI;D;4;0;0;0;0;0;0
761;Devante Smith-Pelly;ANA;R;7;0;0;0;0;0;0
762;Sean Collins;CBJ;C;5;0;0;0;0;0;0
763;Michael Sgarbossa;COL;C;6;0;0;0;0;0;0
764;Mike Komisarek;TOR;D;4;0;0;0;0;0;0
765;Micheal Haley;NYR;C;9;0;0;0;0;0;0
766;Frank Corrado;VAN;D;3;0;0;0;0;0;0
767;Scott Laughton;PHI;L;5;0;0;0;0;0;0
768;Akim Aliu;CGY;R;5;0;0;0;0;0;0
769;Michal Jordan;CAR;D;5;0;0;0;0;0;0
770;Scott Timmins;FLA;C;5;0;0;0;0;0;0
771;Jonathan Rheault;FLA;R;5;0;0;0;0;0;0
772;David Savard;CBJ;D;4;0;0;0;0;0;0
773;Cody McCormick;BUF;C;8;0;0;0;0;0;0
774;Andrew Gordon;VAN;R;6;0;0;0;0;0;0
775;Tim Sestito;NJD;C;6;0;0;0;0;0;0
776;Mark Scheifele;WPG;C;4;0;0;0;0;0;0
777;Dylan Reese;PIT;D;3;0;0;0;0;0;0
778;Joe Colborne;TOR;C;5;0;0;0;0;0;0
779;Derek Grant;OTT;C;5;0;0;0;0;0;0
780;Mike Blunden;MTL;R;5;0;0;0;0;0;0
781;Mark Stone;OTT;R;4;0;0;0;0;0;0
782;Patrice Cormier;WPG;C;10;0;0;0;0;0;0
783;Chris Brown;PHX;C;5;0;0;0;0;0;0
784;Eric Wellwood;PHI;L;4;0;0;0;0;0;0
785;Matt Ellis;BUF;L;6;0;0;0;0;0;0
786;Mike Hoffman;OTT;C;3;0;0;0;0;0;0
787;Harri Pesonen;NJD;C;4;0;0;0;0;0;0
788;Ryan Spooner;BOS;C;4;0;0;0;0;0;0
789;Rickard Rakell;ANA;R;4;0;0;0;0;0;0
790;Jordan Hendry;ANA;D;2;0;0;0;0;0;0
791;Derek Joslin;VAN;D;2;0;0;0;0;0;0
792;Matt Taormina;TBL;D;2;0;0;0;0;0;0
793;Matthew Konan;PHI;D;2;0;0;0;0;0;0
794;Mark Barberio;TBL;D;2;0;0;0;0;0;0
795;Carter Bancks;CGY;C;2;0;0;0;0;0;0
796;Greg Pateryn;MTL;D;3;0;0;0;0;0;0
797;Nicklas Jensen;VAN;L;2;0;0;0;0;0;0
798;Jared Staal;CAR;R;2;0;0;0;0;0;0
799;Drew LeBlanc;CHI;C;2;0;0;0;0;0;0
800;Brett Sutter;CAR;L;3;0;0;0;0;0;0
801;Brandon Mashinter;NYR;L;4;0;0;0;0;0;0
802;Jonathan Audy-Marchessault;CBJ;C;2;0;0;0;0;0;0
803;Andrej Sustr;TBL;D;2;0;0;0;0;0;0
804;Mark Arcobello;EDM;R;1;0;0;0;0;0;0
805;Matt Pelech;SJS;R;2;0;0;0;0;0;0
806;Brandon Pirri;CHI;C;1;0;0;0;0;0;0
807;Nick Holden;CBJ;D;2;0;0;0;0;0;0
808;Jake Dowell;MIN;C;2;0;0;0;0;0;0
809;Ryan Stanton;CHI;D;1;0;0;0;0;0;0
810;Mattias Ekholm;NSH;D;1;0;0;0;0;0;0
811;Eric Gelinas;NJD;D;1;0;0;0;0;0;0
812;Cam Janssen;NJD;R;4;0;0;0;0;0;0
813;Michael Caruso;FLA;D;2;0;0;0;0;0;0
814;Dmitrij Jaskin;STL;R;2;0;0;0;0;0;0
815;Shawn Lalonde;CHI;D;1;0;0;0;0;0;0
816;Alexander Urbom;NJD;D;1;0;0;0;0;0;0
817;Mathieu Roy;TBL;D;1;0;0;0;0;0;0
818;Johan Larsson;MIN;L;1;0;0;0;0;0;0
819;JT Wyman;TBL;R;1;0;0;0;0;0;0
820;Christian Thomas;NYR;L;1;0;0;0;0;0;0
821;Darren Helm;DET;C;1;0;0;0;0;0;0
822;Bill Sweatt;VAN;L;1;0;0;0;0;0;0
823;Bracken Kearns;SJS;C;1;0;0;0;0;0;0
824;Cameron Schilling;WSH;D;1;0;0;0;0;0;0
825;Nick Petrecki;SJS;D;1;0;0;0;0;0;0
826;Jan Mursak;DET;L;2;0;0;0;0;0;0
827;Trevor Smith;PIT;C;1;0;0;0;0;0;0
828;Jamie Tardif;BOS;R;2;0;0;0;0;0;0
829;Andy Miele;PHX;C;1;0;0;0;0;0;0
830;Darcy Hordichuk;EDM;L;4;0;0;0;0;0;0
831;Jody Shelley;PHI;L;1;0;0;0;0;0;0
832;Marc-Andre Gragnani;CAR;D;1;0;0;0;0;0;0
833;Andrew Murray;STL;C;1;0;0;0;0;0;0
834;Mike Angelidis;TBL;L;1;0;0;0;0;0;0
835;Riley Sheahan;DET;C;1;0;0;0;0;0;0
836;Toby Petersen;DAL;C;1;0;0;0;0;0;0
837;Francis Wathier;DAL;L;1;0;0;0;0;0;0
838;Brandon Segal;NYR;R;1;0;0;0;0;0;0
839;Steve MacIntyre;PIT;L;1;0;0;0;0;0;0
