rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points
104;Henrik Zetterberg;DET;L;45;16;32;48;32;32;64
105;Shane Doan;PHX;R;69;23;24;47;46;24;70
106;Brandon Saad;CHI;L;78;19;28;47;38;28;66
107;Daniel Sedin;VAN;L;73;16;31;47;32;31;63
108;Mike Ribeiro;PHX;C;80;16;31;47;32;31;63
109;Mark Giordano;CGY;D;64;14;33;47;42;66;108
110;Matt Niskanen;PIT;D;81;10;36;46;30;72;102
111;Mike Cammalleri;CGY;C;63;26;19;45;52;19;71
112;Antoine Vermette;PHX;C;82;24;21;45;48;21;69
113;Mason Raymond;TOR;L;82;19;26;45;38;26;64
114;Derick Brassard;NYR;C;81;18;27;45;36;27;63
115;Kevin Shattenkirk;STL;D;81;10;35;45;30;70;100
116;Joffrey Lupul;TOR;L;69;22;22;44;44;22;66
117;Cody Hodgson;BUF;C;72;20;24;44;40;24;64
118;Oliver Ekman-Larsson;PHX;D;80;15;29;44;45;58;103
119;Andrej Sekera;CAR;D;74;11;33;44;33;66;99
120;Mark Streit;PHI;D;82;10;34;44;30;68;98
121;Marcus Johansson;WSH;C;80;8;36;44;16;36;52
122;Ryan Kesler;VAN;C;77;25;18;43;50;18;68
123;Troy Brouwer;WSH;R;82;25;18;43;50;18;68
124;Adam Henrique;NJD;C;77;25;18;43;50;18;68
125;Tyler Ennis;BUF;C;80;21;22;43;42;22;64
126;Vladimir Tarasenko;STL;R;64;21;22;43;42;22;64
127;Tomas Plekanec;MTL;C;81;20;23;43;40;23;63
128;Justin Williams;LAK;R;82;19;24;43;38;24;62
129;Olli Jokinen;WPG;C;82;18;25;43;36;25;61
130;Mathieu Perreault;ANA;C;69;18;25;43;36;25;61
131;Ryan McDonagh;NYR;D;77;14;29;43;42;58;100
132;Ales Hemsky;EDM, OTT;R;75;13;30;43;26;30;56
133;Ryan Suter;MIN;D;82;8;35;43;24;70;94
134;Andrei Markov;MTL;D;81;7;36;43;21;72;93
135;Alexander Semin;CAR;R;65;22;20;42;44;20;64
136;Andrew Cogliano;ANA;C;82;21;21;42;42;21;63
137;Michael Frolik;WPG;R;81;15;27;42;30;27;57
138;Jason Chimera;WSH;L;82;15;27;42;30;27;57
139;Marek Zidlicky;NJD;D;81;12;30;42;36;60;96
140;Teddy Purcell;TBL;R;81;12;30;42;24;30;54
141;Alex Goligoski;DAL;D;81;6;36;42;18;72;90
142;Brayden Schenn;PHI;C;82;20;21;41;40;21;61
143;Brendan Gallagher;MTL;R;81;19;22;41;38;22;60
144;Evander Kane;WPG;L;63;19;22;41;38;22;60
145;Alex Killorn;TBL;C;82;17;24;41;34;24;58
146;Johan Franzen;DET;R;54;16;25;41;32;25;57
147;Mike Richards;LAK;C;82;11;30;41;22;30;52
