rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points
460;Richard Panik;TBL;R;50;3;10;13;6;10;16
461;Brooks Orpik;PIT;D;72;2;11;13;6;22;28
462;Mark Stuart;WPG;D;69;2;11;13;6;22;28
463;Anton Stralman;NYR;D;81;1;12;13;3;24;27
464;Mike Weaver;FLA, MTL;D;72;1;12;13;3;24;27
465;Colton Sceviour;DAL;C;26;8;4;12;16;4;20
466;Dave Bolland;TOR;C;23;8;4;12;16;4;20
467;Deryk Engelland;PIT;D;56;6;6;12;18;12;30
468;Magnus Paajarvi;STL;L;55;6;6;12;12;6;18
469;Matt D'Agostini;PIT, BUF;R;57;5;7;12;10;7;17
470;Jeff Halpern;PHX;C;69;5;7;12;10;7;17
471;Luke Schenn;PHI;D;79;4;8;12;12;16;28
472;Tomas Kopecky;FLA;R;49;4;8;12;8;8;16
473;Drayson Bowman;CAR;L;70;4;8;12;8;8;16
474;Scott Hannan;SJS;D;56;3;9;12;9;18;27
475;Steve Bernier;NJD;R;78;3;9;12;6;9;15
476;Dylan Olsen;FLA;D;44;3;9;12;9;18;27
477;Philip Larsen;EDM;D;30;3;9;12;9;18;27
478;Ryan Murphy;CAR;D;48;2;10;12;6;20;26
479;Travis Moen;MTL;L;65;2;10;12;4;10;14
480;Grant Clitsome;WPG;D;32;2;10;12;6;20;26
481;Scott Gomez;FLA;C;46;2;10;12;4;10;14
482;Willie Mitchell;LAK;D;76;1;11;12;3;22;25
483;Emerson Etem;ANA;L;29;7;4;11;14;4;18
484;Trevor Lewis;LAK;C;73;6;5;11;12;5;17
485;Patrick Bordeleau;COL;L;82;6;5;11;12;5;17
486;Peter Holland;ANA, TOR;C;43;6;5;11;12;5;17
487;Craig Adams;PIT;R;82;5;6;11;10;6;16
488;David Clarkson;TOR;R;60;5;6;11;10;6;16
489;Jeremy Morin;CHI;R;24;5;6;11;10;6;16
490;Mark Fayne;NJD;D;72;4;7;11;12;14;26
491;Stephen Gionta;NJD;C;66;4;7;11;8;7;15
492;Peter Regin;NYI, CHI;C;61;4;7;11;8;7;15
493;Michael Kostka;CHI, TBL;D;28;4;7;11;12;14;26
494;Alex Tanguay;COL;L;16;4;7;11;8;7;15
495;Zach Bogosian;WPG;D;55;3;8;11;9;16;25
496;Brad Stuart;SJS;D;61;3;8;11;9;16;25
497;Dmitry Orlov;WSH;D;54;3;8;11;9;16;25
498;Ian Cole;STL;D;46;3;8;11;9;16;25
499;Lubomir Visnovsky;NYI;D;24;3;8;11;9;16;25
500;Jon Merrill;NJD;D;52;2;9;11;6;18;24
501;Eric Gryba;OTT;D;57;2;9;11;6;18;24
502;Chris Thorburn;WPG;R;55;2;9;11;4;9;13
503;Corey Tropp;BUF, CBJ;R;53;2;9;11;4;9;13
504;Sven Baertschi;CGY;L;26;2;9;11;4;9;13
505;Jonathan Ericsson;DET;D;48;1;10;11;3;20;23
506;Ryan Spooner;BOS;C;23;0;11;11;0;11;11
507;Ryan Carter;NJD;L;62;7;3;10;14;3;17
508;Yannick Weber;VAN;D;49;6;4;10;18;8;26
509;Jordan Nolan;LAK;C;64;6;4;10;12;4;16
510;Stephane Robidas;DAL, ANA;D;38;5;5;10;15;10;25
511;Mark Barberio;TBL;D;49;5;5;10;15;10;25
512;Matt Halischuk;WPG;R;46;5;5;10;10;5;15
513;Jay McClement;TOR;C;81;4;6;10;8;6;14
514;Tom Wilson;WSH;R;82;3;7;10;6;7;13
515;B.J. Crombeen;TBL;R;55;3;7;10;6;7;13
516;Joe Corvo;OTT;D;25;3;7;10;9;14;23
517;Troy Bodie;TOR;R;47;3;7;10;6;7;13
518;Zbynek Michalek;PHX;D;59;2;8;10;6;16;22
519;Torrey Mitchell;MIN, BUF;C;67;2;8;10;4;8;12
520;Erik Gustafsson;PHI;D;31;2;8;10;6;16;22
521;Steve Oleksy;WSH;D;33;2;8;10;6;16;22
522;Devante Smith-Pelly;ANA;R;19;2;8;10;4;8;12
523;Cory Sarich;COL;D;54;1;9;10;3;18;21
524;Dennis Seidenberg;BOS;D;34;1;9;10;3;18;21
525;Bryan Allen;ANA;D;68;0;10;10;0;20;20
526;Robert Bortuzzo;PIT;D;54;0;10;10;0;20;20
527;Tom Sestito;VAN;L;77;5;4;9;10;4;14
528;Jayson Megna;PIT;C;36;5;4;9;10;4;14
529;Adam Hall;PHI;R;80;4;5;9;8;5;13
530;Jay Beagle;WSH;R;62;4;5;9;8;5;13
531;Radek Dvorak;CAR;R;60;4;5;9;8;5;13
532;Pierre-Marc Bouchard;NYI;C;28;4;5;9;8;5;13
533;Trevor Smith;TOR;C;28;4;5;9;8;5;13
534;Erik Gudbranson;FLA;D;65;3;6;9;9;12;21
535;Brian Strait;NYI;D;47;3;6;9;9;12;21
536;Cody Ceci;OTT;D;49;3;6;9;9;12;21
537;Evgeny Kuznetsov;WSH;C;17;3;6;9;6;6;12
538;Kevin Klein;NSH, NYR;D;77;2;7;9;6;14;20
539;John-Michael Liles;TOR, CAR;D;41;2;7;9;6;14;20
540;Keith Ballard;MIN;D;45;2;7;9;6;14;20
541;Calle Jarnkrok;NSH;C;12;2;7;9;4;7;11
542;Mike Weber;BUF;D;68;1;8;9;3;16;19
543;Nate Guenin;COL;D;68;1;8;9;3;16;19
544;Mattias Ekholm;NSH;D;62;1;8;9;3;16;19
545;David Schlemko;PHX;D;48;1;8;9;3;16;19
546;Shawn Thornton;BOS;L;64;5;3;8;10;3;13
547;Vincent Trocheck;FLA;C;20;5;3;8;10;3;13
548;Daniel Cleary;DET;R;52;4;4;8;8;4;12
549;Derek Dorsett;NYR;R;51;4;4;8;8;4;12
550;Brian McGrattan;CGY;R;76;4;4;8;8;4;12
551;Mark Stone;OTT;R;19;4;4;8;8;4;12
552;Kyle Clifford;LAK;L;71;3;5;8;6;5;11
553;Ladislav Smid;EDM, CGY;D;73;2;6;8;6;12;18
554;Henrik Tallinder;BUF;D;64;2;6;8;6;12;18
555;Brett Bellemore;CAR;D;64;2;6;8;6;12;18
556;Nate Prosser;MIN;D;53;2;6;8;6;12;18
557;Ryan Reaves;STL;R;63;2;6;8;4;6;10
558;Tim Kennedy;PHX;L;37;2;6;8;4;6;10
559;Paul Bissonnette;PHX;L;39;2;6;8;4;6;10
560;Michal Rozsival;CHI;D;42;1;7;8;3;14;17
561;Andrej Sustr;TBL;D;43;1;7;8;3;14;17
562;Kevin Connauton;DAL;D;36;1;7;8;3;14;17
563;Connor Murphy;PHX;D;30;1;7;8;3;14;17
564;Anton Volchenkov;NJD;D;56;0;8;8;0;16;16
565;Matt Hendricks;NSH, EDM;C;77;5;2;7;10;2;12
566;Drew Shore;FLA;C;24;5;2;7;10;2;12
567;Zac Dalpe;VAN;C;55;4;3;7;8;3;11
568;Kevin Westgarth;CAR, CGY;R;48;4;3;7;8;3;11
569;Rich Clune;NSH;L;58;3;4;7;6;4;10
570;Tom Pyatt;TBL;C;27;3;4;7;6;4;10
571;Beau Bennett;PIT;R;21;3;4;7;6;4;10
572;Eric O'Dell;WPG;C;30;3;4;7;6;4;10
573;Tanner Pearson;LAK;L;25;3;4;7;6;4;10
574;Sheldon Brookbank;CHI;D;48;2;5;7;6;10;16
575;Matt Frattin;LAK, CBJ;R;44;2;5;7;4;5;9
576;Cody McCormick;BUF, MIN;C;43;2;5;7;4;5;9
577;Reid Boucher;NJD;R;23;2;5;7;4;5;9
578;Anton Belov;EDM;D;57;1;6;7;3;12;15
579;Mark Pysyk;BUF;D;44;1;6;7;3;12;15
580;Marc-Andre Cliche;COL;C;76;1;6;7;2;6;8
581;Luke Glendening;DET;C;56;1;6;7;2;6;8
582;Matt Ellis;BUF;L;50;4;2;6;8;2;10
583;Quinton Howden;FLA;C;16;4;2;6;8;2;10
584;Eric Tangradi;WPG;L;55;3;3;6;6;3;9
585;J.T. Miller;NYR;C;30;3;3;6;6;3;9
586;Mike Hoffman;OTT;L;25;3;3;6;6;3;9
587;Jordan Schroeder;VAN;C;25;3;3;6;6;3;9
588;Nicklas Jensen;VAN;R;17;3;3;6;6;3;9
589;Francis Bouillon;MTL;D;52;2;4;6;6;8;14
590;Dalton Prout;CBJ;D;49;2;4;6;6;8;14
591;Keaton Ellerby;WPG;D;51;2;4;6;6;8;14
592;Matt Greene;LAK;D;38;2;4;6;6;8;14
593;Nate Schmidt;WSH;D;29;2;4;6;6;8;14
594;Ryan Jones;EDM;L;52;2;4;6;4;4;8
595;Ryan White;MTL;C;52;2;4;6;4;4;8
596;Brandon McMillan;PHX;C;22;2;4;6;4;4;8
597;Brian Lashoff;DET;D;75;1;5;6;3;10;13
598;Tim Gleason;CAR, TOR;D;56;1;5;6;3;10;13
599;Kevan Miller;BOS;D;47;1;5;6;3;10;13
600;Victor Bartley;NSH;D;50;1;5;6;3;10;13
601;Connor Carrick;WSH;D;34;1;5;6;3;10;13
602;Luca Sbisa;ANA;D;30;1;5;6;3;10;13
603;Adam McQuaid;BOS;D;30;1;5;6;3;10;13
604;Jordan Leopold;STL;D;27;1;5;6;3;10;13
605;Adam Pardy;WPG;D;60;0;6;6;0;12;12
606;Martin Marincin;EDM;D;44;0;6;6;0;12;12
607;Ryan Wilson;COL;D;28;0;6;6;0;12;12
608;Taylor Pyatt;NYR, PIT;L;56;4;1;5;8;1;9
609;Daniel Carcillo;LAK, NYR;L;57;4;1;5;8;1;9
610;Jason Zucker;MIN;L;21;4;1;5;8;1;9
611;Tim Jackman;CGY, ANA;R;36;4;1;5;8;1;9
612;Chris Conner;PIT;R;19;4;1;5;8;1;9
613;Tye McGinn;PHI;L;18;4;1;5;8;1;9
614;Jesse Joensuu;EDM;L;42;3;2;5;6;2;8
615;Bracken Kearns;SJS;L;25;3;2;5;6;2;8
616;Will Acton;EDM;C;30;3;2;5;6;2;8
617;Brad Malone;COL;C;32;3;2;5;6;2;8
618;Raffi Torres;SJS;L;5;3;2;5;6;2;8
619;Mike Brown;EDM, SJS;R;56;2;3;5;4;3;7
620;Patrick Eaves;DET, NSH;R;30;2;3;5;4;3;7
621;Anthony Peluso;WPG;R;53;2;3;5;4;3;7
622;Clayton Stoner;MIN;D;63;1;4;5;3;8;11
623;Ed Jovanovski;FLA;D;37;1;4;5;3;8;11
624;Mark Fistric;ANA;D;34;1;4;5;3;8;11
625;Filip Forsberg;NSH;C;13;1;4;5;2;4;6
626;Nick Schultz;EDM, CBJ;D;69;0;5;5;0;10;10
627;Simon Despres;PIT;D;34;0;5;5;0;10;10
628;Corey Potter;EDM, BOS;D;19;0;5;5;0;10;10
629;Linden Vey;LAK;R;18;0;5;5;0;5;5
630;Jack Skille;CBJ;R;16;4;0;4;8;0;8
631;Stephane Da Costa;OTT;C;12;3;1;4;6;1;7
632;Rasmus Ristolainen;BUF;D;34;2;2;4;6;4;10
633;Zac Rinaldo;PHI;C;67;2;2;4;4;2;6
634;Luke Gazdic;EDM;L;67;2;2;4;4;2;6
635;Stephen Weiss;DET;C;26;2;2;4;4;2;6
636;Dustin Jeffrey;PIT, DAL;C;34;2;2;4;4;2;6
637;Eric Boulton;NYI;L;23;2;2;4;4;2;6
638;Bryce Salvador;NJD;D;40;1;3;4;3;6;9
639;John Erskine;WSH;D;37;1;3;4;3;6;9
640;Rostislav Klesla;PHX;D;25;1;3;4;3;6;9
641;Carlo Colaiacovo;STL;D;25;1;3;4;3;6;9
642;Colton Sissons;NSH;C;17;1;3;4;2;3;5
643;Michael Latta;WSH;C;17;1;3;4;2;3;5
644;Zach Boychuk;CAR;L;11;1;3;4;2;3;5
645;Rob Scuderi;PIT;D;53;0;4;4;0;8;8
646;Peter Harrold;NJD;D;33;0;4;4;0;8;8
647;Johan Larsson;BUF;L;28;0;4;4;0;4;4
648;Mike Komisarek;CAR;D;32;0;4;4;0;8;8
649;Krys Barch;FLA;R;55;0;4;4;0;4;4
650;Rickard Rakell;ANA;C;18;0;4;4;0;4;4
651;Jean-Philippe Cote;TBL;D;19;0;4;4;0;8;8
652;Tyler Wotherspoon;CGY;D;14;0;4;4;0;8;8
653;Stephane Veilleux;MIN;L;34;3;0;3;6;0;6
654;Jordan Szwarz;PHX;R;26;3;0;3;6;0;6
655;Cam Janssen;NJD;R;24;3;0;3;6;0;6
656;Chris Summers;PHX;D;18;2;1;3;6;2;8
657;Mikhail Grigorenko;BUF;C;18;2;1;3;4;1;5
658;Casey Wellman;WSH;C;13;2;1;3;4;1;5
659;Markus Granlund;CGY;C;7;2;1;3;4;1;5
660;Zenon Konopka;MIN, BUF;C;59;1;2;3;2;2;4
661;Adam Larsson;NJD;D;26;1;2;3;3;4;7
662;Jordan Caron;BOS;R;35;1;2;3;2;2;4
663;Paul Postma;WPG;D;20;1;2;3;3;4;7
664;Aaron Ness;NYI;D;20;1;2;3;3;4;7
665;Jacob Josefson;NJD;C;27;1;2;3;2;2;4
666;Mikael Samuelsson;DET;R;26;1;2;3;2;2;4
667;Oscar Klefbom;EDM;D;17;1;2;3;3;4;7
668;Joakim Nordstrom;CHI;C;16;1;2;3;2;2;4
669;Jerry D'Amigo;TOR;R;22;1;2;3;2;2;4
670;Zach Redmond;WPG;D;10;1;2;3;3;4;7
671;Darren Archibald;VAN;R;16;1;2;3;2;2;4
672;Matt Carkner;NYI;D;53;0;3;3;0;6;6
673;Shane O'Brien;CGY;D;45;0;3;3;0;6;6
674;Radek Martinek;NYI;D;13;0;3;3;0;6;6
675;Carter Ashton;TOR;R;32;0;3;3;0;3;3
676;Tim Sestito;NJD;L;16;0;3;3;0;3;3
677;Patrick Wey;WSH;D;9;0;3;3;0;6;6
678;Chad Billins;CGY;D;10;0;3;3;0;6;6
679;Patrice Cormier;WPG;C;9;0;3;3;0;3;3
680;Chuck Kobasew;PIT;R;33;2;0;2;4;0;4
681;Aaron Volpatti;WSH;L;41;2;0;2;4;0;4
682;Jean-Gabriel Pageau;OTT;C;28;2;0;2;4;0;4
683;Jay Rosehill;PHI;L;34;2;0;2;4;0;4
684;Blair Jones;CGY;C;14;2;0;2;4;0;4
685;Matt Fraser;BOS;R;14;2;0;2;4;0;4
686;Harry Zolnierczyk;PIT;L;13;2;0;2;4;0;4
687;Taylor Fedun;EDM;D;4;2;0;2;6;0;6
688;Alex Grant;ANA;D;2;2;0;2;6;0;6
689;Mark Fraser;TOR, EDM;D;42;1;1;2;3;2;5
690;John McCarthy;SJS;L;36;1;1;2;2;1;3
691;Alexander Urbom;WSH;D;20;1;1;2;3;2;5
692;Jim Slater;WPG;C;27;1;1;2;2;1;3
693;Matt Gilroy;FLA;D;16;1;1;2;3;2;5
694;Jared Boll;CBJ;R;28;1;1;2;2;1;3
695;Dmitrij Jaskin;STL;R;18;1;1;2;2;1;3
696;Matt Dumba;MIN;D;13;1;1;2;3;2;5
697;Julien Brouillette;WSH;D;10;1;1;2;3;2;5
698;Matt Kassian;OTT;L;33;1;1;2;2;1;3
699;Brett Sutter;CAR;L;17;1;1;2;2;1;3
700;Chris Brown;PHX, WSH;C;12;1;1;2;2;1;3
701;Philip Varone;BUF;C;9;1;1;2;2;1;3
702;David Warsofsky;BOS;D;6;1;1;2;3;2;5
703;Kenny Agostino;CGY;L;8;1;1;2;2;1;3
704;Josh Leivo;TOR;L;7;1;1;2;2;1;3
705;Simon Moser;NSH;C;6;1;1;2;2;1;3
706;Justin Florek;BOS;L;4;1;1;2;2;1;3
707;Douglas Murray;MTL;D;53;0;2;2;0;4;4
708;James Wright;WPG;C;59;0;2;2;0;2;2
709;Alexander Sulzer;BUF;D;25;0;2;2;0;4;4
710;Jarred Tinordi;MTL;D;22;0;2;2;0;4;4
711;Tyson Strachan;WSH;D;18;0;2;2;0;4;4
712;Colby Robak;FLA;D;16;0;2;2;0;4;4
713;Colin Fraser;LAK;C;33;0;2;2;0;2;2
714;Kevin Czuczman;NYI;D;13;0;2;2;0;4;4
715;Justin Falk;NYR;D;21;0;2;2;0;4;4
716;Nathan Beaulieu;MTL;D;17;0;2;2;0;4;4
717;Derek Grant;OTT;C;20;0;2;2;0;2;2
718;Linus Omark;EDM, BUF;L;14;0;2;2;0;2;2
719;Cory Emmerton;DET;C;18;0;2;2;0;2;2
720;Adam Cracknell;STL;R;19;0;2;2;0;2;2
721;Chris Terry;CAR;L;10;0;2;2;0;2;2
722;Rostislav Olesz;NJD;L;10;0;2;2;0;2;2
723;Max Reinhart;CGY;C;8;0;2;2;0;2;2
724;Chris Breen;CGY;D;9;0;2;2;0;4;4
725;Ben Hanowski;CGY;R;11;0;2;2;0;2;2
726;Andy Miele;PHX;C;7;0;2;2;0;2;2
727;Steven Pinizzotto;EDM;R;6;0;2;2;0;2;2
728;Lane MacDermid;DAL, CGY;L;7;0;2;2;0;2;2
729;John Scott;BUF;L;56;1;0;1;2;0;2
730;Nicolas Deslauriers;BUF;L;17;1;0;1;2;0;2
731;Mike Halmo;NYI;L;20;1;0;1;2;0;2
732;Frank Corrado;VAN;D;15;1;0;1;3;0;3
733;Mark Borowiecki;OTT;D;13;1;0;1;3;0;3
734;Luke Adam;BUF;C;12;1;0;1;2;0;2
735;Mattias Tedenby;NJD;R;15;1;0;1;2;0;2
736;Brett Connolly;TBL;R;11;1;0;1;2;0;2
737;Jeremy Welsh;VAN;C;19;1;0;1;2;0;2
738;John Persson;NYI;L;10;1;0;1;2;0;2
739;Nikita Zadorov;BUF;D;7;1;0;1;3;0;3
740;Eriah Hayes;SJS;R;15;1;0;1;2;0;2
741;Tyler Pitlick;EDM;R;10;1;0;1;2;0;2
742;Corban Knight;CGY;C;7;1;0;1;2;0;2
743;Kellan Lain;VAN;C;9;1;0;1;2;0;2
744;John Albert;WPG;C;9;1;0;1;2;0;2
745;Adam Almquist;DET;D;2;1;0;1;3;0;3
746;Roman Horak;CGY, EDM;C;3;1;0;1;2;0;2
747;Carl Klingberg;WPG;L;3;1;0;1;2;0;2
748;Matt Pelech;SJS;R;6;1;0;1;2;0;2
749;Matt Carey;CHI;L;2;1;0;1;2;0;2
750;Stefan Elliott;COL;D;1;1;0;1;3;0;3
751;Johnny Gaudreau;CGY;L;1;1;0;1;2;0;2
752;Chad Ruhwedel;BUF;D;21;0;1;1;0;2;2
753;Anton Lander;EDM;C;27;0;1;1;0;1;1
754;Aaron Rome;DAL;D;25;0;1;1;0;2;2
755;Jack Hillen;WSH;D;13;0;1;1;0;2;2
756;David Rundblad;PHX, CHI;D;17;0;1;1;0;2;2
757;Chris Porter;STL;L;22;0;1;1;0;1;1
758;Jonathon Blum;MIN;D;15;0;1;1;0;2;2
759;Michael Chaput;CBJ;C;17;0;1;1;0;1;1
760;Keith Aulie;TBL;D;15;0;1;1;0;2;2
761;Kevin Porter;BUF;C;12;0;1;1;0;1;1
762;Chris VandeVelde;PHI;C;18;0;1;1;0;1;1
763;Ben Street;CGY;C;13;0;1;1;0;1;1
764;Derek Smith;CGY;D;14;0;1;1;0;2;2
765;Joey Crabb;FLA;R;9;0;1;1;0;1;1
766;Brian Dumoulin;PIT;D;6;0;1;1;0;2;2
767;Jake McCabe;BUF;D;7;0;1;1;0;2;2
768;George Parros;MTL;R;22;0;1;1;0;1;1
769;Andrew Ebbett;PIT;C;9;0;1;1;0;1;1
770;Denis Grebeshkov;EDM;D;7;0;1;1;0;2;2
771;Johan Sundstrom;NYI;C;11;0;1;1;0;1;1
772;Alex Petrovic;FLA;D;7;0;1;1;0;2;2
773;Mike Rupp;MIN;L;13;0;1;1;0;1;1
774;Jordin Tootoo;DET;R;11;0;1;1;0;1;1
775;Ben Eager;EDM;L;7;0;1;1;0;1;1
776;Sean Collins;CBJ;C;6;0;1;1;0;1;1
777;Travis Morin;DAL;C;4;0;1;1;0;1;1
778;David Broll;TOR;L;5;0;1;1;0;1;1
779;Dmitry Korobov;TBL;D;3;0;1;1;0;2;2
780;Nolan Yonkman;ANA;D;2;0;1;1;0;2;2
781;Cedric Paquette;TBL;C;2;0;1;1;0;1;1
782;Bobby Butler;FLA;R;2;0;1;1;0;1;1
783;Michael Zalewski;VAN;L;2;0;1;1;0;1;1
784;Kris Newbury;PHI;C;4;0;1;1;0;1;1
785;Christian Folin;MIN;D;1;0;1;1;0;2;2
786;Maxime Fortunus;DAL;D;1;0;1;1;0;2;2
787;Jason Akeson;PHI;R;1;0;1;1;0;1;1
788;Colton Orr;TOR;R;54;0;0;0;0;0;0
789;Zach Sill;PIT;C;20;0;0;0;0;0;0
790;Brayden McNabb;BUF;D;12;0;0;0;0;0;0
791;Jerred Smithson;TOR;C;18;0;0;0;0;0;0
792;Adam Burish;SJS;R;15;0;0;0;0;0;0
793;Cameron Gaunce;DAL;D;9;0;0;0;0;0;0
794;Jamie Oleksiak;DAL;D;7;0;0;0;0;0;0
795;Jesper Fast;NYR;R;11;0;0;0;0;0;0
796;Mike Sislo;NJD;R;14;0;0;0;0;0;0
797;Ryan Whitney;FLA;D;7;0;0;0;0;0;0
798;Freddie Hamilton;SJS;C;11;0;0;0;0;0;0
799;Patrik Nemeth;DAL;D;8;0;0;0;0;0;0
800;Frazer McLaren;TOR;L;27;0;0;0;0;0;0
801;Mike Mottau;FLA;D;8;0;0;0;0;0;0
802;Matt Taormina;TBL;D;7;0;0;0;0;0;0
803;Taylor Beck;NSH;L;7;0;0;0;0;0;0
804;Pierre-Cedric Labrie;TBL;L;13;0;0;0;0;0;0
805;Hal Gill;PHI;D;6;0;0;0;0;0;0
806;Nick Johnson;BOS;R;9;0;0;0;0;0;0
807;Scott Mayfield;NYI;D;5;0;0;0;0;0;0
808;Chris Mueller;DAL;C;9;0;0;0;0;0;0
809;Louis Leblanc;MTL;C;8;0;0;0;0;0;0
810;Philip Samuelsson;PIT;D;5;0;0;0;0;0;0
811;Paul Carey;COL;C;12;0;0;0;0;0;0
812;Andrew Alberts;VAN;D;10;0;0;0;0;0;0
813;Brandon Gormley;PHX;D;5;0;0;0;0;0;0
814;David Steckel;ANA;C;6;0;0;0;0;0;0
815;Dana Tyrell;TBL;C;7;0;0;0;0;0;0
816;Xavier Ouellet;DET;D;4;0;0;0;0;0;0
817;Bryce Van Brabant;CGY;L;6;0;0;0;0;0;0
818;Brett Bulmer;MIN;R;5;0;0;0;0;0;0
819;Cody Goloubef;CBJ;D;5;0;0;0;0;0;0
820;Arron Asham;NYR;R;6;0;0;0;0;0;0
821;Conor Allen;NYR;D;3;0;0;0;0;0;0
822;Mark Cundari;CGY;D;4;0;0;0;0;0;0
823;Mike Blunden;MTL;R;7;0;0;0;0;0;0
824;Teuvo Teravainen;CHI;C;3;0;0;0;0;0;0
825;Ryan Craig;CBJ;C;6;0;0;0;0;0;0
826;Patrick Kaleta;BUF;R;5;0;0;0;0;0;0
827;Patrick Holland;MTL;R;5;0;0;0;0;0;0
828;Andrew Campbell;LAK;D;3;0;0;0;0;0;0
829;Vladislav Namestnikov;TBL;C;4;0;0;0;0;0;0
830;Brad Hunt;EDM;D;3;0;0;0;0;0;0
831;Yann Sauve;VAN;D;3;0;0;0;0;0;0
832;Landon Ferraro;DET;C;4;0;0;0;0;0;0
833;Gilbert Brule;PHX;C;3;0;0;0;0;0;0
834;Lucas Lessio;PHX;L;3;0;0;0;0;0;0
835;Garrett Wilson;FLA;L;3;0;0;0;0;0;0
836;Brad Mills;CHI;C;3;0;0;0;0;0;0
837;Zach Trotman;BOS;D;2;0;0;0;0;0;0
838;Tim Erixon;CBJ;D;2;0;0;0;0;0;0
839;Brett Gallant;NYI;L;4;0;0;0;0;0;0
840;Brandon Mashinter;NYR;L;6;0;0;0;0;0;0
841;Ryan Stoa;WSH;C;3;0;0;0;0;0;0
842;Pascal Pelletier;VAN;L;3;0;0;0;0;0;0
843;Keith Aucoin;STL;C;2;0;0;0;0;0;0
844;Joe Piskula;NSH;D;2;0;0;0;0;0;0
845;Matt Lindblad;BOS;C;2;0;0;0;0;0;0
846;Teemu Pulkkinen;DET;L;3;0;0;0;0;0;0
847;Ty Rattie;STL;R;2;0;0;0;0;0;0
848;Nicolas Deschamps;WSH;C;3;0;0;0;0;0;0
849;Ryan Hamilton;EDM;L;2;0;0;0;0;0;0
850;Craig Cunningham;BOS;R;2;0;0;0;0;0;0
851;Aaron Palushaj;CAR;R;2;0;0;0;0;0;0
852;Ryan Sproul;DET;D;1;0;0;0;0;0;0
853;Adam Payerl;PIT;C;2;0;0;0;0;0;0
854;Cameron Schilling;WSH;D;1;0;0;0;0;0;0
855;Matt Hunwick;COL;D;1;0;0;0;0;0;0
856;Jonathan Racine;FLA;D;1;0;0;0;0;0;0
857;Alexander Khokhlachev;BOS;C;1;0;0;0;0;0;0
858;Christian Thomas;MTL;L;2;0;0;0;0;0;0
859;Dylan McIlrath;NYR;D;2;0;0;0;0;0;0
860;Brandon Yip;PHX;R;2;0;0;0;0;0;0
861;Gabriel Dumont;MTL;C;2;0;0;0;0;0;0
862;Bill Arnold;CGY;C;1;0;0;0;0;0;0
863;Alexey Marchenko;DET;D;1;0;0;0;0;0;0
864;Karl Stollery;COL;D;2;0;0;0;0;0;0
865;Justin Johnson;NYI;R;2;0;0;0;0;0;0
866;Petter Granberg;TOR;D;1;0;0;0;0;0;0
867;Jamie Devane;TOR;L;2;0;0;0;0;0;0
868;David Van Der Gulik;COL;L;2;0;0;0;0;0;0
869;Ben Chiarot;WPG;D;1;0;0;0;0;0;0
870;Nick Drazenovic;PIT;C;1;0;0;0;0;0;0
871;Cody Kunyk;TBL;R;1;0;0;0;0;0;0
872;Martin St Pierre;MTL;C;1;0;0;0;0;0;0
873;Peter LeBlanc;WSH;C;1;0;0;0;0;0;0
874;Mitch Callahan;DET;R;1;0;0;0;0;0;0
875;Benn Ferriero;VAN;R;2;0;0;0;0;0;0
876;Julian Melchiori;WPG;D;1;0;0;0;0;0;0
877;Darroll Powe;NYR;C;1;0;0;0;0;0;0
878;Mark Van Guilder;NSH;C;1;0;0;0;0;0;0
879;Carson McMillan;MIN;R;1;0;0;0;0;0;0
880;Joe Whitney;NJD;R;1;0;0;0;0;0;0
881;Jake Dowell;MIN;C;1;0;0;0;0;0;0
882;Spencer Abbott;TOR;L;1;0;0;0;0;0;0
883;Pierre-Luc Letourneau-Leblond;PIT;R;1;0;0;0;0;0;0
884;Greg McKegg;TOR;C;1;0;0;0;0;0;0
885;Cody Bass;CBJ;C;1;0;0;0;0;0;0
886;Joonas Nattinen;MTL;C;1;0;0;0;0;0;0
